"MEASURE","Measure","REGIONTYPE","Geography Level","LGA_2020","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","2","Victoria","A","Annual","2020","2020",6696670,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","20110","Alpine (S)","A","Annual","2020","2020",12973,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","20260","Ararat (RC)","A","Annual","2020","2020",11965,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","20570","Ballarat (C)","A","Annual","2020","2020",111361,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","20660","Banyule (C)","A","Annual","2020","2020",131940,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","20740","Bass Coast (S)","A","Annual","2020","2020",37445,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","20830","Baw Baw (S)","A","Annual","2020","2020",54884,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","20910","Bayside (C)","A","Annual","2020","2020",107541,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","21010","Benalla (RC)","A","Annual","2020","2020",14137,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","21110","Boroondara (C)","A","Annual","2020","2020",183023,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","21180","Brimbank (C)","A","Annual","2020","2020",208247,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","21270","Buloke (S)","A","Annual","2020","2020",6101,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","21370","Campaspe (S)","A","Annual","2020","2020",37675,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","21450","Cardinia (S)","A","Annual","2020","2020",116193,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","21610","Casey (C)","A","Annual","2020","2020",364600,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","21670","Central Goldfields (S)","A","Annual","2020","2020",13092,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","21750","Colac-Otway (S)","A","Annual","2020","2020",21662,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","21830","Corangamite (S)","A","Annual","2020","2020",15929,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","21890","Darebin (C)","A","Annual","2020","2020",166430,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","22110","East Gippsland (S)","A","Annual","2020","2020",47725,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","22170","Frankston (C)","A","Annual","2020","2020",143338,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","22250","Gannawarra (S)","A","Annual","2020","2020",10400,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","22310","Glen Eira (C)","A","Annual","2020","2020",158216,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","22410","Glenelg (S)","A","Annual","2020","2020",19621,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","22490","Golden Plains (S)","A","Annual","2020","2020",24249,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","22620","Greater Bendigo (C)","A","Annual","2020","2020",119980,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","22670","Greater Dandenong (C)","A","Annual","2020","2020",168362,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","22750","Greater Geelong (C)","A","Annual","2020","2020",264866,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","22830","Greater Shepparton (C)","A","Annual","2020","2020",67070,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","22910","Hepburn (S)","A","Annual","2020","2020",16157,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","22980","Hindmarsh (S)","A","Annual","2020","2020",5592,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","23110","Hobsons Bay (C)","A","Annual","2020","2020",98189,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","23190","Horsham (RC)","A","Annual","2020","2020",20018,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","23270","Hume (C)","A","Annual","2020","2020",241188,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","23350","Indigo (S)","A","Annual","2020","2020",16885,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","23430","Kingston (C) (Vic.)","A","Annual","2020","2020",167293,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","23670","Knox (C)","A","Annual","2020","2020",165147,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","23810","Latrobe (C) (Vic.)","A","Annual","2020","2020",75915,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","23940","Loddon (S)","A","Annual","2020","2020",7473,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","24130","Macedon Ranges (S)","A","Annual","2020","2020",50971,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","24210","Manningham (C)","A","Annual","2020","2020",128929,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","24250","Mansfield (S)","A","Annual","2020","2020",9474,,
